District,Month,Average Maximum (F),Average Minimum (F),Average Temperature (F)
AMA,1,49,23,36
AMA,2,54,27,41
AMA,3,62,34,48
AMA,4,71,42,57
AMA,5,79,52,66
AMA,6,87,61,74
AMA,7,91,65,78
AMA,8,89,64,77
AMA,9,82,56,69
AMA,10,72,45,59
AMA,11,58,32,45
AMA,12,50,24,37
CHS,1,52,27,40
CHS,2,58,32,45
CHS,3,66,39,53
CHS,4,75,48,62
CHS,5,83,58,71
CHS,6,91,66,79
CHS,7,95,71,83
CHS,8,94,69,82
CHS,9,86,62,74
CHS,10,76,50,63
CHS,11,63,38,51
CHS,12,53,29,41
WFS,1,52,29,41
WFS,2,58,34,46
WFS,3,67,41,54
WFS,4,76,49,63
WFS,5,84,59,72
WFS,6,92,68,80
WFS,7,97,72,85
WFS,8,96,71,84
WFS,9,88,64,76
WFS,10,77,52,65
WFS,11,64,40,52
WFS,12,54,31,43
LBB,1,52,24,38
LBB,2,58,29,44
LBB,3,66,36,51
LBB,4,75,45,60
LBB,5,83,56,70
LBB,6,90,64,77
LBB,7,92,68,80
LBB,8,90,66,78
LBB,9,83,58,71
LBB,10,74,47,61
LBB,11,62,35,49
LBB,12,53,26,40
SJT,1,58,29,44
SJT,2,63,34,49
SJT,3,71,42,57
SJT,4,79,50,65
SJT,5,86,59,73
SJT,6,91,66,79
SJT,7,95,70,83
SJT,8,94,68,81
SJT,9,88,61,75
SJT,10,79,51,65
SJT,11,67,39,53
SJT,12,59,31,45
ODA,1,57,30,44
ODA,2,63,34,49
ODA,3,71,41,56
ODA,4,79,49,64
ODA,5,87,59,73
ODA,6,93,66,80
ODA,7,94,69,82
ODA,8,93,68,81
ODA,9,86,62,74
ODA,10,77,51,64
ODA,11,66,39,53
ODA,12,58,31,45
ABL,1,55,32,44
ABL,2,61,37,49
ABL,3,69,44,57
ABL,4,77,52,65
ABL,5,85,61,73
ABL,6,91,69,80
ABL,7,95,72,84
ABL,8,94,71,83
ABL,9,87,64,76
ABL,10,78,54,66
ABL,11,65,42,54
ABL,12,57,34,46
ELP,1,57,33,45
ELP,2,63,38,51
ELP,3,70,44,57
ELP,4,78,51,65
ELP,5,87,61,74
ELP,6,95,69,82
ELP,7,94,72,83
ELP,8,92,70,81
ELP,9,87,64,76
ELP,10,78,52,65
ELP,11,66,40,53
ELP,12,57,33,45
FTW,1,55,31,43
FTW,2,61,36,49
FTW,3,68,44,56
FTW,4,76,52,64
FTW,5,83,61,72
FTW,6,91,69,80
FTW,7,97,72,85
FTW,8,96,72,84
FTW,9,89,65,77
FTW,10,79,55,67
FTW,11,67,44,56
FTW,12,58,35,47
DAL,1,55,36,46
DAL,2,61,41,51
DAL,3,69,49,59
DAL,4,77,56,67
DAL,5,84,65,75
DAL,6,92,73,83
DAL,7,96,77,87
DAL,8,96,76,86
DAL,9,89,69,79
DAL,10,79,58,69
DAL,11,66,47,57
DAL,12,57,39,48
ATL,1,53,31,42
ATL,2,59,35,47
ATL,3,67,43,55
ATL,4,75,51,63
ATL,5,82,59,71
ATL,6,90,67,79
ATL,7,94,71,83
ATL,8,94,69,82
ATL,9,87,62,75
ATL,10,76,50,63
ATL,11,64,41,53
ATL,12,56,33,45
PAR,1,51,30,41
PAR,2,58,35,47
PAR,3,66,43,55
PAR,4,74,51,63
PAR,5,81,60,71
PAR,6,89,68,79
PAR,7,94,72,83
PAR,8,95,71,83
PAR,9,87,63,75
PAR,10,77,52,65
PAR,11,63,41,52
PAR,12,54,33,44
TYL,1,57,38,48
TYL,2,64,41,53
TYL,3,72,49,61
TYL,4,78,55,67
TYL,5,84,63,74
TYL,6,90,70,80
TYL,7,94,73,84
TYL,8,94,72,83
TYL,9,88,67,78
TYL,10,78,56,67
TYL,11,67,48,58
TYL,12,58,40,49
WAC,1,57,33,45
WAC,2,62,38,50
WAC,3,70,46,58
WAC,4,78,53,66
WAC,5,84,63,74
WAC,6,91,70,81
WAC,7,96,74,85
WAC,8,96,73,85
WAC,9,90,66,78
WAC,10,79,55,67
WAC,11,68,45,57
WAC,12,59,36,48
BWD,1,57,30,44
BWD,2,62,35,49
BWD,3,70,42,56
BWD,4,78,51,65
BWD,5,84,61,73
BWD,6,91,68,80
BWD,7,95,71,83
BWD,8,95,70,83
BWD,9,88,63,76
BWD,10,79,52,66
BWD,11,68,41,55
BWD,12,60,32,46
LFK,1,59,38,49
LFK,2,65,41,53
LFK,3,72,48,60
LFK,4,78,54,66
LFK,5,84,63,74
LFK,6,90,69,80
LFK,7,93,72,83
LFK,8,94,71,83
LFK,9,89,66,78
LFK,10,80,55,68
LFK,11,69,46,58
LFK,12,61,39,50
SAT,1,62,39,51
SAT,2,67,43,55
SAT,3,74,50,62
SAT,4,80,57,69
SAT,5,86,66,76
SAT,6,91,72,82
SAT,7,95,74,85
SAT,8,95,74,85
SAT,9,90,69,80
SAT,10,82,59,71
SAT,11,71,49,60
SAT,12,64,41,53
LRD,1,68,44,56
LRD,2,73,48,61
LRD,3,82,56,69
LRD,4,89,63,76
LRD,5,95,70,83
LRD,6,100,74,87
LRD,7,102,75,89
LRD,8,101,75,88
LRD,9,95,71,83
LRD,10,87,63,75
LRD,11,77,53,65
LRD,12,69,45,57
BRY,1,61,40,51
BRY,2,66,44,55
BRY,3,73,50,62
BRY,4,79,57,68
BRY,5,85,65,75
BRY,6,92,72,82
BRY,7,96,74,85
BRY,8,96,73,85
BRY,9,91,69,80
BRY,10,82,59,71
BRY,11,71,49,60
BRY,12,63,42,53
AUS,1,60,40,50
AUS,2,65,44,55
AUS,3,73,51,62
AUS,4,79,58,69
AUS,5,85,65,75
AUS,6,91,71,81
AUS,7,95,73,84
AUS,8,96,73,85
AUS,9,90,69,80
AUS,10,81,60,71
AUS,11,70,49,60
AUS,12,62,42,52
HOU,1,63,45,54
HOU,2,67,48,58
HOU,3,74,55,65
HOU,4,79,61,70
HOU,5,86,68,77
HOU,6,91,74,83
HOU,7,94,75,85
HOU,8,93,75,84
HOU,9,89,72,81
HOU,10,82,62,72
HOU,11,73,53,63
HOU,12,65,47,56
BMT,1,62,43,53
BMT,2,65,46,56
BMT,3,72,52,62
BMT,4,78,59,69
BMT,5,84,66,75
BMT,6,89,72,81
BMT,7,92,74,83
BMT,8,92,73,83
BMT,9,88,69,79
BMT,10,80,60,70
BMT,11,71,51,61
BMT,12,64,45,55
CRP,1,66,46,56
CRP,2,70,49,60
CRP,3,76,56,66
CRP,4,81,62,72
CRP,5,86,69,78
CRP,6,90,74,82
CRP,7,93,74,84
CRP,8,93,75,84
CRP,9,90,72,81
CRP,10,84,64,74
CRP,11,75,55,65
CRP,12,68,48,58
PHR,1,69,48,59
PHR,2,73,52,63
PHR,3,81,58,70
PHR,4,85,64,75
PHR,5,89,70,80
PHR,6,94,74,84
PHR,7,95,75,85
PHR,8,96,75,86
PHR,9,92,72,82
PHR,10,86,65,76
PHR,11,78,57,68
PHR,12,71,50,61
YKM,1,62,39,51
YKM,2,66,43,55
YKM,3,73,50,62
YKM,4,80,57,69
YKM,5,86,64,75
YKM,6,91,70,81
YKM,7,94,71,83
YKM,8,95,71,83
YKM,9,91,67,79
YKM,10,83,58,71
YKM,11,72,49,61
YKM,12,64,42,53
